what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1441041402516
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1441041402516
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1441041402516
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1441041402532
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1441041402532
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1441041402532
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1441041402532
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1441041402532
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1441041402532
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1441041402532
os,sysinfo,,,"win32",1441041402532
arch,sysinfo,,,"x86_64",1441041402532
ws,sysinfo,,,"win32",1441041402532
locale,sysinfo,,,"en_US",1441041402532
processors,sysinfo,,,"4",1441041402532
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1441041402532
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1441041402532
java.specification.name,sysinfo,,,"Java Platform API Specification",1441041402532
java.specification.vendor,sysinfo,,,"Oracle Corporation",1441041402532
java.specification.version,sysinfo,,,"1.8",1441041402532
java.vendor,sysinfo,,,"Oracle Corporation",1441041402532
java.version,sysinfo,,,"1.8.0_60",1441041402532
java.vm.info,sysinfo,,,"mixed mode",1441041402532
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1441041402532
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1441041402532
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1441041402532
java.vm.specification.version,sysinfo,,,"1.8",1441041402532
java.vm.vendor,sysinfo,,,"Oracle Corporation",1441041402532
java.vm.version,sysinfo,,,"25.60-b23",1441041402532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441041422812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441041516310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1441041516326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441041529595
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1441041535809
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1441041535824
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1441041535871
